asset_id,site_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
B1_CH_01,S1,B1_CH_01,Chiller,Schneider,2021-01-01,500,
B1_AHU_01,S1,B1_AHU_01,AHU,JohnsonControls,2022-01-01,150,B1_CH_01
B1_AHU_01_SEN,S1,B1_AHU_01_SEN,Sensor,Siemens,2023-01-01,10,B1_AHU_01
B1_AHU_02,S1,B1_AHU_02,AHU,Schneider,2022-01-01,150,B1_CH_01
B1_AHU_02_SEN,S1,B1_AHU_02_SEN,Sensor,Schneider,2023-01-01,10,B1_AHU_02
B1_PUMP_01,S1,B1_PUMP_01,Pump,JohnsonControls,2021-06-01,200,B1_CH_01
B1_METER_01,S1,B1_METER_01,EnergyMeter,Siemens,2023-06-01,50,B1_PUMP_01
B2_CH_01,S1,B2_CH_01,Chiller,Siemens,2021-01-01,500,
B2_AHU_01,S1,B2_AHU_01,AHU,Schneider,2022-01-01,150,B2_CH_01
B2_AHU_01_SEN,S1,B2_AHU_01_SEN,Sensor,Honeywell,2023-01-01,10,B2_AHU_01
B2_AHU_02,S1,B2_AHU_02,AHU,Schneider,2022-01-01,150,B2_CH_01
B2_AHU_02_SEN,S1,B2_AHU_02_SEN,Sensor,Schneider,2023-01-01,10,B2_AHU_02
B2_PUMP_01,S1,B2_PUMP_01,Pump,Schneider,2021-06-01,200,B2_CH_01
B2_METER_01,S1,B2_METER_01,EnergyMeter,Schneider,2023-06-01,50,B2_PUMP_01
B3_CH_01,S2,B3_CH_01,Chiller,JohnsonControls,2021-01-01,500,
B3_AHU_01,S2,B3_AHU_01,AHU,Siemens,2022-01-01,150,B3_CH_01
B3_AHU_01_SEN,S2,B3_AHU_01_SEN,Sensor,JohnsonControls,2023-01-01,10,B3_AHU_01
B3_AHU_02,S2,B3_AHU_02,AHU,JohnsonControls,2022-01-01,150,B3_CH_01
B3_AHU_02_SEN,S2,B3_AHU_02_SEN,Sensor,JohnsonControls,2023-01-01,10,B3_AHU_02
B3_PUMP_01,S2,B3_PUMP_01,Pump,Schneider,2021-06-01,200,B3_CH_01
B3_METER_01,S2,B3_METER_01,EnergyMeter,Honeywell,2023-06-01,50,B3_PUMP_01
B4_CH_01,S2,B4_CH_01,Chiller,Siemens,2021-01-01,500,
B4_AHU_01,S2,B4_AHU_01,AHU,Honeywell,2022-01-01,150,B4_CH_01
B4_AHU_01_SEN,S2,B4_AHU_01_SEN,Sensor,JohnsonControls,2023-01-01,10,B4_AHU_01
B4_AHU_02,S2,B4_AHU_02,AHU,JohnsonControls,2022-01-01,150,B4_CH_01
B4_AHU_02_SEN,S2,B4_AHU_02_SEN,Sensor,Honeywell,2023-01-01,10,B4_AHU_02
B4_PUMP_01,S2,B4_PUMP_01,Pump,Honeywell,2021-06-01,200,B4_CH_01
B4_METER_01,S2,B4_METER_01,EnergyMeter,Honeywell,2023-06-01,50,B4_PUMP_01
B5_CH_01,S3,B5_CH_01,Chiller,JohnsonControls,2021-01-01,500,
B5_AHU_01,S3,B5_AHU_01,AHU,JohnsonControls,2022-01-01,150,B5_CH_01
B5_AHU_01_SEN,S3,B5_AHU_01_SEN,Sensor,Siemens,2023-01-01,10,B5_AHU_01
B5_AHU_02,S3,B5_AHU_02,AHU,Siemens,2022-01-01,150,B5_CH_01
B5_AHU_02_SEN,S3,B5_AHU_02_SEN,Sensor,JohnsonControls,2023-01-01,10,B5_AHU_02
B5_PUMP_01,S3,B5_PUMP_01,Pump,Honeywell,2021-06-01,200,B5_CH_01
B5_METER_01,S3,B5_METER_01,EnergyMeter,Honeywell,2023-06-01,50,B5_PUMP_01
B6_CH_01,S3,B6_CH_01,Chiller,Siemens,2021-01-01,500,
B6_AHU_01,S3,B6_AHU_01,AHU,JohnsonControls,2022-01-01,150,B6_CH_01
B6_AHU_01_SEN,S3,B6_AHU_01_SEN,Sensor,Siemens,2023-01-01,10,B6_AHU_01
B6_AHU_02,S3,B6_AHU_02,AHU,Siemens,2022-01-01,150,B6_CH_01
B6_AHU_02_SEN,S3,B6_AHU_02_SEN,Sensor,Schneider,2023-01-01,10,B6_AHU_02
B6_PUMP_01,S3,B6_PUMP_01,Pump,Schneider,2021-06-01,200,B6_CH_01
B6_METER_01,S3,B6_METER_01,EnergyMeter,Schneider,2023-06-01,50,B6_PUMP_01
